Wine ID,Year,Rating,Comment,Winery,Wine,Rating_avg,Num_reviews,Price,Region,Country
6353184,2020,4.1,"Almost black, red wine. Very fruity nose. Full body wine with lots of black fruits and currents. Very nice. Good price quality.",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.0,"Yes! Notes of plum, blackberry, black cherry, raspberry, seashell, minerals (earthy), pepper, and oak. Awesome!

#VintnersCatalyst",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.9,"Nice one! Bit of cigarbox notes along with deep red fruit on the nose. Nicely balanced tannins, sweetness, acidity all there",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.9,"Correctly scoring Douro red, very smooth, good balance, ideal for big groups (Ovifat weekend with friends).",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.9,"Magnum served at project evaluation, very well received",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.5,"Dark and rich in the glass. Smokey blueberry and blackberry nose. Taste is earthy. 
Portuguese reds, best wine for the money on earth 
Great with spaghetti ant meatballs. ",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.0,This is a good one today! With big ribeye,Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.0,Earthly leather rice in flavour starting to appreciate Portugese wine even more,Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.7,"This bottle ripened a year longer, it adds cassis to the nose to my previous TN.
Tasted slightly chilled, which balances it better",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.0,"Barbecue meat and game, charcoal grill, blackberry and cherry nose. Medium high tannins. Medium high acidity. Medium full body. Leather, cherry, rubber, and smoke. Complex and fun with good depth and flavors. 3.8⭐️",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.5,"A nice, but not spectacular wine. I was expecting more from a TN dominated wine, certainly after the recent Portugal tasting I did. This needs a wide tulip shaped glass to present a decent nose. It offers cherry fruit, a pinch of leather, wet wood and espresso.

Med acidity, med tannic. Mild spicy with a pungent feel on the tongue. Balanced flavors in line with the nose. Dry and buoyant. Med finish. 14 pts @ wijnhandel Francoise.",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,4.5,"Thanks @[1|10450984|Anky D'Hooghe] full
body, smooth",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.5,"Little peppery, strong, tanines with full body of blackberries without the sweetness.",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.5,"Nice and great value for money. Lovely for easy drinks. Some sweetness, cassis, plum, leather ",Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
6353184,2020,3.0,Ok red from Portugal but nothing exciting going on here.  ,Quinta Dona Mafalda,Little Mafalda 2020,3.9,41,10.75,Douro,Portugal
